,Event ID,Event Date,Source Name,Source Sectors,Source Country,Event Text,CAMEO_code,Intensity,Target Name,Target Sectors,Target Country,Story ID,Sentence Number,Publisher,City,District,Province,Country,Latitude,Longitude,Event_date_dt
183841,19837111,2013-04-07,Recep Tayyip Erdoğan,"Elite,Parties,(National) Major Party,Center Right,Ideological,Sunni,Executive,International Religious,Executive Office,Government",Turkey,Consult,40,1.0,John Kerry,"Upper House,(National) Major Party,Executive,Parties,Center Left,Ideological,Government,Legislative / Parliamentary,Foreign Ministry",United States,26720080,4,Trend News Agency (Azerbaijan),Ankara,,Ankara,Turkey,39.9199,32.8543,2013-04-07
183844,19837107,2013-04-07,Turkey,,Turkey,Express intent to engage in diplomatic cooperation (such as policy support),32,4.5,Israel,,Israel,26720080,5,Trend News Agency (Azerbaijan),Ankara,,Ankara,Turkey,39.9199,32.8543,2013-04-07
183903,19837176,2013-04-07,John Kerry,"Upper House,(National) Major Party,Executive,Parties,Center Left,Ideological,Government,Legislative / Parliamentary,Foreign Ministry",United States,Engage in negotiation,46,7.0,Foreign Affairs (Turkey),"Executive,Government,Foreign Ministry",Turkey,26721292,1,Dow Jones Emerging Markets Report,Istanbul,,Istanbul,Turkey,41.0138,28.9497,2013-04-07
183904,19837175,2013-04-07,Foreign Affairs (Turkey),"Executive,Government,Foreign Ministry",Turkey,Engage in negotiation,46,7.0,John Kerry,"Upper House,(National) Major Party,Executive,Parties,Center Left,Ideological,Government,Legislative / Parliamentary,Foreign Ministry",United States,26721292,1,Dow Jones Emerging Markets Report,Istanbul,,Istanbul,Turkey,41.0138,28.9497,2013-04-07
183905,19837177,2013-04-07,Turkey,,Turkey,Host a visit,43,2.8,John Kerry,"Upper House,(National) Major Party,Executive,Parties,Center Left,Ideological,Government,Legislative / Parliamentary,Foreign Ministry",United States,26721292,6,Dow Jones Emerging Markets Report,Istanbul,,Istanbul,Turkey,41.0138,28.9497,2013-04-07
183906,19837174,2013-04-07,John Kerry,"Upper House,(National) Major Party,Executive,Parties,Center Left,Ideological,Government,Legislative / Parliamentary,Foreign Ministry",United States,Make a visit,42,1.9,Turkey,,Turkey,26721292,6,Dow Jones Emerging Markets Report,Istanbul,,Istanbul,Turkey,41.0138,28.9497,2013-04-07
183907,19837180,2013-04-07,John Kerry,"Upper House,(National) Major Party,Executive,Parties,Center Left,Ideological,Government,Legislative / Parliamentary,Foreign Ministry",United States,Engage in negotiation,46,7.0,Foreign Affairs (Turkey),"Executive,Government,Foreign Ministry",Turkey,26721294,1,Dow Jones Business News,Istanbul,,Istanbul,Turkey,41.0138,28.9497,2013-04-07
183908,19837179,2013-04-07,Foreign Affairs (Turkey),"Executive,Government,Foreign Ministry",Turkey,Engage in negotiation,46,7.0,John Kerry,"Upper House,(National) Major Party,Executive,Parties,Center Left,Ideological,Government,Legislative / Parliamentary,Foreign Ministry",United States,26721294,1,Dow Jones Business News,Istanbul,,Istanbul,Turkey,41.0138,28.9497,2013-04-07
183909,19837181,2013-04-07,Turkey,,Turkey,Host a visit,43,2.8,John Kerry,"Upper House,(National) Major Party,Executive,Parties,Center Left,Ideological,Government,Legislative / Parliamentary,Foreign Ministry",United States,26721294,6,Dow Jones Business News,Istanbul,,Istanbul,Turkey,41.0138,28.9497,2013-04-07
183910,19837178,2013-04-07,John Kerry,"Upper House,(National) Major Party,Executive,Parties,Center Left,Ideological,Government,Legislative / Parliamentary,Foreign Ministry",United States,Make a visit,42,1.9,Turkey,,Turkey,26721294,6,Dow Jones Business News,Istanbul,,Istanbul,Turkey,41.0138,28.9497,2013-04-07
183914,19837186,2013-04-07,Foreign Affairs (Turkey),"Executive,Government,Foreign Ministry",Turkey,Engage in negotiation,46,7.0,John Kerry,"Upper House,(National) Major Party,Executive,Parties,Center Left,Ideological,Government,Legislative / Parliamentary,Foreign Ministry",United States,26721297,1,Dow Jones News Service,Istanbul,,Istanbul,Turkey,41.0138,28.9497,2013-04-07
183915,19837187,2013-04-07,John Kerry,"Upper House,(National) Major Party,Executive,Parties,Center Left,Ideological,Government,Legislative / Parliamentary,Foreign Ministry",United States,Engage in negotiation,46,7.0,Foreign Affairs (Turkey),"Executive,Government,Foreign Ministry",Turkey,26721297,1,Dow Jones News Service,Istanbul,,Istanbul,Turkey,41.0138,28.9497,2013-04-07
183916,19837185,2013-04-07,John Kerry,"Upper House,(National) Major Party,Executive,Parties,Center Left,Ideological,Government,Legislative / Parliamentary,Foreign Ministry",United States,Make a visit,42,1.9,Turkey,,Turkey,26721297,6,Dow Jones News Service,Istanbul,,Istanbul,Turkey,41.0138,28.9497,2013-04-07
183917,19837188,2013-04-07,Turkey,,Turkey,Host a visit,43,2.8,John Kerry,"Upper House,(National) Major Party,Executive,Parties,Center Left,Ideological,Government,Legislative / Parliamentary,Foreign Ministry",United States,26721297,6,Dow Jones News Service,Istanbul,,Istanbul,Turkey,41.0138,28.9497,2013-04-07
183924,19837200,2013-04-07,Ahmet Davutoglu,"Education,Parties,(National) Major Party,Foreign Ministry,Center Right,Ideological,Executive,Cabinet,Government,Social",Turkey,Consult,40,1.0,John Kerry,"Upper House,(National) Major Party,Executive,Parties,Center Left,Ideological,Government,Legislative / Parliamentary,Foreign Ministry",United States,26721330,3,Agence France-Presse,Istanbul,,Istanbul,Turkey,41.0138,28.9497,2013-04-07
183925,19837198,2013-04-07,John Kerry,"Upper House,(National) Major Party,Executive,Parties,Center Left,Ideological,Government,Legislative / Parliamentary,Foreign Ministry",United States,Consult,40,1.0,Ahmet Davutoglu,"Education,Parties,(National) Major Party,Foreign Ministry,Center Right,Ideological,Executive,Cabinet,Government,Social",Turkey,26721330,3,Agence France-Presse,Istanbul,,Istanbul,Turkey,41.0138,28.9497,2013-04-07
183982,19837269,2013-04-07,John Kerry,"Upper House,(National) Major Party,Executive,Parties,Center Left,Ideological,Government,Legislative / Parliamentary,Foreign Ministry",United States,Express intent to meet or negotiate,36,4.0,Turkey,,Turkey,26721422,1,Xinhua News Agency,Ankara,,Ankara,Turkey,39.9199,32.8543,2013-04-07
183983,19837268,2013-04-07,United States,,United States,Express intent to engage in diplomatic cooperation (such as policy support),32,4.5,Turkey,,Turkey,26721422,2,Xinhua News Agency,Ankara,,Ankara,Turkey,39.9199,32.8543,2013-04-07
184085,19837384,2013-04-07,John Kerry,"Upper House,(National) Major Party,Executive,Parties,Center Left,Ideological,Government,Legislative / Parliamentary,Foreign Ministry",United States,Appeal for diplomatic cooperation (such as policy support),22,3.4,Israel,,Israel,26721589,2,Agence France-Presse,Istanbul,,Istanbul,Turkey,41.0138,28.9497,2013-04-07
184086,19837383,2013-04-07,John Kerry,"Upper House,(National) Major Party,Executive,Parties,Center Left,Ideological,Government,Legislative / Parliamentary,Foreign Ministry",United States,Appeal for diplomatic cooperation (such as policy support),22,3.4,Turkey,,Turkey,26721589,2,Agence France-Presse,Istanbul,,Istanbul,Turkey,41.0138,28.9497,2013-04-07
184129,19837438,2013-04-07,Turkey,,Turkey,Host a visit,43,2.8,John Kerry,"Upper House,(National) Major Party,Executive,Parties,Center Left,Ideological,Government,Legislative / Parliamentary,Foreign Ministry",United States,26721681,6,Agence France-Presse,Ankara,,Ankara,Turkey,39.9199,32.8543,2013-04-07
184130,19837436,2013-04-07,John Kerry,"Upper House,(National) Major Party,Executive,Parties,Center Left,Ideological,Government,Legislative / Parliamentary,Foreign Ministry",United States,Make statement,10,0.0,Turkey,,Turkey,26721681,6,Agence France-Presse,Ankara,,Ankara,Turkey,39.9199,32.8543,2013-04-07
184131,19837437,2013-04-07,John Kerry,"Upper House,(National) Major Party,Executive,Parties,Center Left,Ideological,Government,Legislative / Parliamentary,Foreign Ministry",United States,Make a visit,42,1.9,Turkey,,Turkey,26721681,6,Agence France-Presse,Ankara,,Ankara,Turkey,39.9199,32.8543,2013-04-07
184138,19837446,2013-04-07,Turkey,,Turkey,Host a visit,43,2.8,John Kerry,"Upper House,(National) Major Party,Executive,Parties,Center Left,Ideological,Government,Legislative / Parliamentary,Foreign Ministry",United States,26721693,2,Trend News Agency (Azerbaijan),Istanbul,,Istanbul,Turkey,41.0138,28.9497,2013-04-07
184139,19837445,2013-04-07,John Kerry,"Upper House,(National) Major Party,Executive,Parties,Center Left,Ideological,Government,Legislative / Parliamentary,Foreign Ministry",United States,Make a visit,42,1.9,Turkey,,Turkey,26721693,2,Trend News Agency (Azerbaijan),Istanbul,,Istanbul,Turkey,41.0138,28.9497,2013-04-07
184174,19837488,2013-04-07,Turkey,,Turkey,Engage in diplomatic cooperation,50,3.5,Israel,,Israel,26721742,5,Xinhua News Agency,Istanbul,,Istanbul,Turkey,41.0138,28.9497,2013-04-07
184175,19837485,2013-04-07,Turkey,,Turkey,Make statement,10,0.0,United States,,United States,26721742,5,Xinhua News Agency,Istanbul,,Istanbul,Turkey,41.0138,28.9497,2013-04-07
184176,19837490,2013-04-07,Middle East,,,Host a visit,43,2.8,Foreign Affairs (United States),"Government,Executive,Foreign Ministry",United States,26721742,6,Xinhua News Agency,Istanbul,,Istanbul,Turkey,41.0138,28.9497,2013-04-07
184177,19837489,2013-04-07,Ahmet Davutoglu,"Education,Parties,(National) Major Party,Foreign Ministry,Center Right,Ideological,Executive,Cabinet,Government,Social",Turkey,Engage in negotiation,46,7.0,Foreign Affairs (United States),"Government,Executive,Foreign Ministry",United States,26721742,6,Xinhua News Agency,Istanbul,,Istanbul,Turkey,41.0138,28.9497,2013-04-07
184178,19837486,2013-04-07,Foreign Affairs (United States),"Government,Executive,Foreign Ministry",United States,Make a visit,42,1.9,Middle East,,,26721742,6,Xinhua News Agency,Istanbul,,Istanbul,Turkey,41.0138,28.9497,2013-04-07
184179,19837487,2013-04-07,Foreign Affairs (United States),"Government,Executive,Foreign Ministry",United States,Engage in negotiation,46,7.0,Ahmet Davutoglu,"Education,Parties,(National) Major Party,Foreign Ministry,Center Right,Ideological,Executive,Cabinet,Government,Social",Turkey,26721742,6,Xinhua News Agency,Istanbul,,Istanbul,Turkey,41.0138,28.9497,2013-04-07
184304,19837625,2013-04-07,Ahmet Davutoglu,"Education,Parties,(National) Major Party,Foreign Ministry,Center Right,Ideological,Executive,Cabinet,Government,Social",Turkey,Consult,40,1.0,John Kerry,"Upper House,(National) Major Party,Executive,Parties,Center Left,Ideological,Government,Legislative / Parliamentary,Foreign Ministry",United States,26722006,2,BBC Monitoring Newsfile,Istanbul,,Istanbul,Turkey,41.0138,28.9497,2013-04-07
184305,19837626,2013-04-07,John Kerry,"Upper House,(National) Major Party,Executive,Parties,Center Left,Ideological,Government,Legislative / Parliamentary,Foreign Ministry",United States,Consult,40,1.0,Ahmet Davutoglu,"Education,Parties,(National) Major Party,Foreign Ministry,Center Right,Ideological,Executive,Cabinet,Government,Social",Turkey,26722006,2,BBC Monitoring Newsfile,Istanbul,,Istanbul,Turkey,41.0138,28.9497,2013-04-07
184306,19837624,2013-04-07,John Kerry,"Upper House,(National) Major Party,Executive,Parties,Center Left,Ideological,Government,Legislative / Parliamentary,Foreign Ministry",United States,Express intent to cooperate,30,4.0,Ahmet Davutoglu,"Education,Parties,(National) Major Party,Foreign Ministry,Center Right,Ideological,Executive,Cabinet,Government,Social",Turkey,26722006,3,BBC Monitoring Newsfile,Istanbul,,Istanbul,Turkey,41.0138,28.9497,2013-04-07
184307,19837623,2013-04-07,Ahmet Davutoglu,"Education,Parties,(National) Major Party,Foreign Ministry,Center Right,Ideological,Executive,Cabinet,Government,Social",Turkey,Express intent to cooperate,30,4.0,John Kerry,"Upper House,(National) Major Party,Executive,Parties,Center Left,Ideological,Government,Legislative / Parliamentary,Foreign Ministry",United States,26722006,3,BBC Monitoring Newsfile,Istanbul,,Istanbul,Turkey,41.0138,28.9497,2013-04-07
184342,19837663,2013-04-07,John Kerry,"Upper House,(National) Major Party,Executive,Parties,Center Left,Ideological,Government,Legislative / Parliamentary,Foreign Ministry",United States,Demand,100,-5.0,Israel,,Israel,26722070,1,Dow Jones News Service,Istanbul,,Istanbul,Turkey,41.0138,28.9497,2013-04-07
184343,19837662,2013-04-07,John Kerry,"Upper House,(National) Major Party,Executive,Parties,Center Left,Ideological,Government,Legislative / Parliamentary,Foreign Ministry",United States,Demand,100,-5.0,Turkey,,Turkey,26722070,1,Dow Jones News Service,Istanbul,,Istanbul,Turkey,41.0138,28.9497,2013-04-07
184350,19837673,2013-04-07,Turkey,,Turkey,Engage in diplomatic cooperation,50,3.5,Israel,,Israel,26722083,1,Xinhua News Agency,Istanbul,,Istanbul,Turkey,41.0138,28.9497,2013-04-07
184351,19837669,2013-04-07,Turkey,,Turkey,Make statement,10,0.0,United States,,United States,26722083,1,Xinhua News Agency,Istanbul,,Istanbul,Turkey,41.0138,28.9497,2013-04-07
184352,19837675,2013-04-07,Middle East,,,Host a visit,43,2.8,Foreign Affairs (United States),"Government,Executive,Foreign Ministry",United States,26722083,2,Xinhua News Agency,Istanbul,,Istanbul,Turkey,41.0138,28.9497,2013-04-07
184353,19837674,2013-04-07,Ahmet Davutoglu,"Education,Parties,(National) Major Party,Foreign Ministry,Center Right,Ideological,Executive,Cabinet,Government,Social",Turkey,Engage in negotiation,46,7.0,Foreign Affairs (United States),"Government,Executive,Foreign Ministry",United States,26722083,2,Xinhua News Agency,Istanbul,,Istanbul,Turkey,41.0138,28.9497,2013-04-07
184354,19837670,2013-04-07,Foreign Affairs (United States),"Government,Executive,Foreign Ministry",United States,Make a visit,42,1.9,Middle East,,,26722083,2,Xinhua News Agency,Istanbul,,Istanbul,Turkey,41.0138,28.9497,2013-04-07
184355,19837672,2013-04-07,Foreign Affairs (United States),"Government,Executive,Foreign Ministry",United States,Engage in negotiation,46,7.0,Ahmet Davutoglu,"Education,Parties,(National) Major Party,Foreign Ministry,Center Right,Ideological,Executive,Cabinet,Government,Social",Turkey,26722083,2,Xinhua News Agency,Istanbul,,Istanbul,Turkey,41.0138,28.9497,2013-04-07
184356,19837671,2013-04-07,John Kerry,"Upper House,(National) Major Party,Executive,Parties,Center Left,Ideological,Government,Legislative / Parliamentary,Foreign Ministry",United States,Make a visit,42,1.9,Middle East,,,26722083,4,Xinhua News Agency,Istanbul,,Istanbul,Turkey,41.0138,28.9497,2013-04-07
184357,19837676,2013-04-07,Middle East,,,Host a visit,43,2.8,John Kerry,"Upper House,(National) Major Party,Executive,Parties,Center Left,Ideological,Government,Legislative / Parliamentary,Foreign Ministry",United States,26722083,4,Xinhua News Agency,Istanbul,,Istanbul,Turkey,41.0138,28.9497,2013-04-07
184360,19837679,2013-04-07,John Kerry,"Upper House,(National) Major Party,Executive,Parties,Center Left,Ideological,Government,Legislative / Parliamentary,Foreign Ministry",United States,Praise or endorse,51,3.4,Kurdistan Workers' Party,"Dissident,International Ethnic,Kurd (Ethnic Group),Separatists",Turkey,26722094,1,Agence France-Presse,Istanbul,,Istanbul,Turkey,41.0138,28.9497,2013-04-07
184362,19837682,2013-04-07,John Kerry,"Upper House,(National) Major Party,Executive,Parties,Center Left,Ideological,Government,Legislative / Parliamentary,Foreign Ministry",United States,Make an appeal or request,20,3.0,Israel,,Israel,26722096,6,Reuters News,Istanbul,,Istanbul,Turkey,41.0138,28.9497,2013-04-07
184363,19837681,2013-04-07,John Kerry,"Upper House,(National) Major Party,Executive,Parties,Center Left,Ideological,Government,Legislative / Parliamentary,Foreign Ministry",United States,Make an appeal or request,20,3.0,Turkey,,Turkey,26722096,6,Reuters News,Istanbul,,Istanbul,Turkey,41.0138,28.9497,2013-04-07
184435,19837760,2013-04-07,Turkey,,Turkey,Engage in diplomatic cooperation,50,3.5,Israel,,Israel,26722243,1,Xinhua News Agency,Istanbul,,Istanbul,Turkey,41.0138,28.9497,2013-04-07
184436,19837756,2013-04-07,Turkey,,Turkey,Make statement,10,0.0,United States,,United States,26722243,1,Xinhua News Agency,Istanbul,,Istanbul,Turkey,41.0138,28.9497,2013-04-07
184437,19837762,2013-04-07,Middle East,,,Host a visit,43,2.8,Foreign Affairs (United States),"Government,Executive,Foreign Ministry",United States,26722243,2,Xinhua News Agency,Istanbul,,Istanbul,Turkey,41.0138,28.9497,2013-04-07
184438,19837761,2013-04-07,Ahmet Davutoglu,"Education,Parties,(National) Major Party,Foreign Ministry,Center Right,Ideological,Executive,Cabinet,Government,Social",Turkey,Engage in negotiation,46,7.0,Foreign Affairs (United States),"Government,Executive,Foreign Ministry",United States,26722243,2,Xinhua News Agency,Istanbul,,Istanbul,Turkey,41.0138,28.9497,2013-04-07
184439,19837758,2013-04-07,Foreign Affairs (United States),"Government,Executive,Foreign Ministry",United States,Make a visit,42,1.9,Middle East,,,26722243,2,Xinhua News Agency,Istanbul,,Istanbul,Turkey,41.0138,28.9497,2013-04-07
184440,19837759,2013-04-07,Foreign Affairs (United States),"Government,Executive,Foreign Ministry",United States,Engage in negotiation,46,7.0,Ahmet Davutoglu,"Education,Parties,(National) Major Party,Foreign Ministry,Center Right,Ideological,Executive,Cabinet,Government,Social",Turkey,26722243,2,Xinhua News Agency,Istanbul,,Istanbul,Turkey,41.0138,28.9497,2013-04-07
184441,19837757,2013-04-07,United States,,United States,Make an appeal or request,20,3.0,Iran,,Iran,26722243,5,Xinhua News Agency,Istanbul,,Istanbul,Turkey,41.0138,28.9497,2013-04-07
184452,19837774,2013-04-07,Turkey,,Turkey,Engage in diplomatic cooperation,50,3.5,Israel,,Israel,26722264,1,Xinhua News Agency,Istanbul,,Istanbul,Turkey,41.0138,28.9497,2013-04-07
184453,19837773,2013-04-07,Turkey,,Turkey,Make statement,10,0.0,United States,,United States,26722264,1,Xinhua News Agency,Istanbul,,Istanbul,Turkey,41.0138,28.9497,2013-04-07
184525,19837846,2013-04-07,John Kerry,"Upper House,(National) Major Party,Executive,Parties,Center Left,Ideological,Government,Legislative / Parliamentary,Foreign Ministry",United States,Make an appeal or request,20,3.0,Iran,,Iran,26722375,1,Xinhua News Agency,Ankara,,Ankara,Turkey,39.9199,32.8543,2013-04-07
184526,19837847,2013-04-07,John Kerry,"Upper House,(National) Major Party,Executive,Parties,Center Left,Ideological,Government,Legislative / Parliamentary,Foreign Ministry",United States,Make a visit,42,1.9,Middle East,,,26722375,2,Xinhua News Agency,Istanbul,,Istanbul,Turkey,41.0138,28.9497,2013-04-07
184527,19837848,2013-04-07,Middle East,,,Host a visit,43,2.8,John Kerry,"Upper House,(National) Major Party,Executive,Parties,Center Left,Ideological,Government,Legislative / Parliamentary,Foreign Ministry",United States,26722375,2,Xinhua News Agency,Istanbul,,Istanbul,Turkey,41.0138,28.9497,2013-04-07
184536,19837858,2013-04-07,Turkey,,Turkey,Host a visit,43,2.8,John Kerry,"Upper House,(National) Major Party,Executive,Parties,Center Left,Ideological,Government,Legislative / Parliamentary,Foreign Ministry",United States,26722380,2,Reuters News,Istanbul,,Istanbul,Turkey,41.0138,28.9497,2013-04-07
184537,19837857,2013-04-07,John Kerry,"Upper House,(National) Major Party,Executive,Parties,Center Left,Ideological,Government,Legislative / Parliamentary,Foreign Ministry",United States,Make a visit,42,1.9,Turkey,,Turkey,26722380,2,Reuters News,Istanbul,,Istanbul,Turkey,41.0138,28.9497,2013-04-07
184538,19837861,2013-04-07,"Palestinian Territory, Occupied",,Occupied Palestinian Territory,Consult,40,1.0,Ahmet Davutoglu,"Education,Parties,(National) Major Party,Foreign Ministry,Center Right,Ideological,Executive,Cabinet,Government,Social",Turkey,26722384,2,BBC Monitoring European,Ankara,,Ankara,Turkey,39.9199,32.8543,2013-04-07
184539,19837860,2013-04-07,Ahmet Davutoglu,"Education,Parties,(National) Major Party,Foreign Ministry,Center Right,Ideological,Executive,Cabinet,Government,Social",Turkey,Consult,40,1.0,"Palestinian Territory, Occupied",,Occupied Palestinian Territory,26722384,2,BBC Monitoring European,Ankara,,Ankara,Turkey,39.9199,32.8543,2013-04-07
184540,19837863,2013-04-07,"Palestinian Territory, Occupied",,Occupied Palestinian Territory,Consult,40,1.0,Ahmet Davutoglu,"Education,Parties,(National) Major Party,Foreign Ministry,Center Right,Ideological,Executive,Cabinet,Government,Social",Turkey,26722384,3,BBC Monitoring European,Ankara,,Ankara,Turkey,39.9199,32.8543,2013-04-07
184541,19837862,2013-04-07,Ahmet Davutoglu,"Education,Parties,(National) Major Party,Foreign Ministry,Center Right,Ideological,Executive,Cabinet,Government,Social",Turkey,Consult,40,1.0,"Palestinian Territory, Occupied",,Occupied Palestinian Territory,26722384,3,BBC Monitoring European,Ankara,,Ankara,Turkey,39.9199,32.8543,2013-04-07
184542,19837859,2013-04-07,Ahmet Davutoglu,"Education,Parties,(National) Major Party,Foreign Ministry,Center Right,Ideological,Executive,Cabinet,Government,Social",Turkey,Make statement,10,0.0,Turkey,,Turkey,26722384,6,BBC Monitoring European,Ankara,,Ankara,Turkey,39.9199,32.8543,2013-04-07
184558,19837880,2013-04-07,John Kerry,"Upper House,(National) Major Party,Executive,Parties,Center Left,Ideological,Government,Legislative / Parliamentary,Foreign Ministry",United States,Make a visit,42,1.9,Turkey,,Turkey,26722395,2,Reuters News,Istanbul,,Istanbul,Turkey,41.0138,28.9497,2013-04-07
184559,19837881,2013-04-07,Turkey,,Turkey,Host a visit,43,2.8,John Kerry,"Upper House,(National) Major Party,Executive,Parties,Center Left,Ideological,Government,Legislative / Parliamentary,Foreign Ministry",United States,26722395,2,Reuters News,Istanbul,,Istanbul,Turkey,41.0138,28.9497,2013-04-07
184580,19837913,2013-04-07,Middle East,,,Host a visit,43,2.8,John Kerry,"Upper House,(National) Major Party,Executive,Parties,Center Left,Ideological,Government,Legislative / Parliamentary,Foreign Ministry",United States,26722413,1,Xinhua News Agency,Istanbul,,Istanbul,Turkey,41.0138,28.9497,2013-04-07
184581,19837912,2013-04-07,Turkey,,Turkey,Host a visit,43,2.8,John Kerry,"Upper House,(National) Major Party,Executive,Parties,Center Left,Ideological,Government,Legislative / Parliamentary,Foreign Ministry",United States,26722413,1,Xinhua News Agency,Istanbul,,Istanbul,Turkey,41.0138,28.9497,2013-04-07
184582,19837910,2013-04-07,Ahmet Davutoglu,"Education,Parties,(National) Major Party,Foreign Ministry,Center Right,Ideological,Executive,Cabinet,Government,Social",Turkey,Engage in negotiation,46,7.0,John Kerry,"Upper House,(National) Major Party,Executive,Parties,Center Left,Ideological,Government,Legislative / Parliamentary,Foreign Ministry",United States,26722413,1,Xinhua News Agency,Istanbul,,Istanbul,Turkey,41.0138,28.9497,2013-04-07
184583,19837906,2013-04-07,John Kerry,"Upper House,(National) Major Party,Executive,Parties,Center Left,Ideological,Government,Legislative / Parliamentary,Foreign Ministry",United States,Make a visit,42,1.9,Middle East,,,26722413,1,Xinhua News Agency,Istanbul,,Istanbul,Turkey,41.0138,28.9497,2013-04-07
184584,19837905,2013-04-07,John Kerry,"Upper House,(National) Major Party,Executive,Parties,Center Left,Ideological,Government,Legislative / Parliamentary,Foreign Ministry",United States,Make a visit,42,1.9,Turkey,,Turkey,26722413,1,Xinhua News Agency,Istanbul,,Istanbul,Turkey,41.0138,28.9497,2013-04-07
184585,19837907,2013-04-07,John Kerry,"Upper House,(National) Major Party,Executive,Parties,Center Left,Ideological,Government,Legislative / Parliamentary,Foreign Ministry",United States,Engage in negotiation,46,7.0,Ahmet Davutoglu,"Education,Parties,(National) Major Party,Foreign Ministry,Center Right,Ideological,Executive,Cabinet,Government,Social",Turkey,26722413,1,Xinhua News Agency,Istanbul,,Istanbul,Turkey,41.0138,28.9497,2013-04-07
184586,19837908,2013-04-07,John Kerry,"Upper House,(National) Major Party,Executive,Parties,Center Left,Ideological,Government,Legislative / Parliamentary,Foreign Ministry",United States,Engage in negotiation,46,7.0,Ahmet Davutoglu,"Education,Parties,(National) Major Party,Foreign Ministry,Center Right,Ideological,Executive,Cabinet,Government,Social",Turkey,26722413,2,Xinhua News Agency,Istanbul,,Istanbul,Turkey,41.0138,28.9497,2013-04-07
184587,19837911,2013-04-07,Ahmet Davutoglu,"Education,Parties,(National) Major Party,Foreign Ministry,Center Right,Ideological,Executive,Cabinet,Government,Social",Turkey,Engage in negotiation,46,7.0,John Kerry,"Upper House,(National) Major Party,Executive,Parties,Center Left,Ideological,Government,Legislative / Parliamentary,Foreign Ministry",United States,26722413,2,Xinhua News Agency,Istanbul,,Istanbul,Turkey,41.0138,28.9497,2013-04-07
184588,19837909,2013-04-07,Other Authorities / Officials (Turkey),Government,Turkey,Expel or deport individuals,174,-5.0,Citizen (Syria),"General Population / Civilian / Social,Social",Syria,26722413,3,Xinhua News Agency,Ankara,,Ankara,Turkey,39.9199,32.8543,2013-04-07
184589,19837903,2013-04-07,John Kerry,"Upper House,(National) Major Party,Executive,Parties,Center Left,Ideological,Government,Legislative / Parliamentary,Foreign Ministry",United States,Express intent to meet or negotiate,36,4.0,Head of Government (Turkey),"Executive,Executive Office,Government",Turkey,26722413,4,Xinhua News Agency,Istanbul,,Istanbul,Turkey,41.0138,28.9497,2013-04-07
184594,19837918,2013-04-07,Head of Government (Turkey),"Executive,Executive Office,Government",Turkey,Threaten,130,-4.4,Police (Turkey),"Police,Government",Turkey,26722426,2,BBC Monitoring European,,,,Turkey,39.9167,32.8333,2013-04-07
184595,19837919,2013-04-07,Recep Tayyip Erdoğan,"Elite,Parties,(National) Major Party,Center Right,Ideological,Sunni,Executive,International Religious,Executive Office,Government",Turkey,Threaten,130,-4.4,Police (Turkey),"Police,Government",Turkey,26722426,3,BBC Monitoring European,,,,Turkey,39.9167,32.8333,2013-04-07
184596,19837917,2013-04-07,Police (Turkey),"Police,Government",Turkey,Express intent to meet or negotiate,36,4.0,Turkey,,Turkey,26722426,6,BBC Monitoring European,Marmara,,Balikesir,Turkey,40.5863,27.5554,2013-04-07
184610,19837932,2013-04-07,John Kerry,"Upper House,(National) Major Party,Executive,Parties,Center Left,Ideological,Government,Legislative / Parliamentary,Foreign Ministry",United States,Demand,100,-5.0,Turkey,,Turkey,26722449,5,Reuters News,Istanbul,,Istanbul,Turkey,41.0138,28.9497,2013-04-07
184624,19837952,2013-04-07,Mali,,Mali,Engage in diplomatic cooperation,50,3.5,Turkey,,Turkey,26722469,2,BBC Monitoring European,Istanbul,,Istanbul,Turkey,41.0138,28.9497,2013-04-07
184625,19837951,2013-04-07,Turkey,,Turkey,Engage in diplomatic cooperation,50,3.5,Mali,,Mali,26722469,2,BBC Monitoring European,Istanbul,,Istanbul,Turkey,41.0138,28.9497,2013-04-07
184626,19837954,2013-04-07,Foreign Affairs (Mali),"Government,Executive,Foreign Ministry",Mali,Sign formal agreement,57,8.0,Ahmet Davutoglu,"Education,Parties,(National) Major Party,Foreign Ministry,Center Right,Ideological,Executive,Cabinet,Government,Social",Turkey,26722469,3,BBC Monitoring European,Istanbul,,Istanbul,Turkey,41.0138,28.9497,2013-04-07
184627,19837953,2013-04-07,Ahmet Davutoglu,"Education,Parties,(National) Major Party,Foreign Ministry,Center Right,Ideological,Executive,Cabinet,Government,Social",Turkey,Sign formal agreement,57,8.0,Foreign Affairs (Mali),"Government,Executive,Foreign Ministry",Mali,26722469,3,BBC Monitoring European,Istanbul,,Istanbul,Turkey,41.0138,28.9497,2013-04-07
184628,19837949,2013-04-07,Ahmet Davutoglu,"Education,Parties,(National) Major Party,Foreign Ministry,Center Right,Ideological,Executive,Cabinet,Government,Social",Turkey,Make statement,10,0.0,Mali,,Mali,26722469,4,BBC Monitoring European,Istanbul,,Istanbul,Turkey,41.0138,28.9497,2013-04-07
184630,19837956,2013-04-07,Head of Government (Georgia),"Executive,Government,Executive Office",Georgia,Consult,40,1.0,Recep Tayyip Erdoğan,"Elite,Parties,(National) Major Party,Center Right,Ideological,Sunni,Executive,International Religious,Executive Office,Government",Turkey,26722470,2,BBC Monitoring European,Istanbul,,Istanbul,Turkey,41.0138,28.9497,2013-04-07
